Time,Consumption [kW],Solar power [kW]
2024-01-01 00:15:00,5.2712,0
2024-01-01 00:30:00,4.3127466667,0
2024-01-01 00:45:00,4.7200066667,0
2024-01-01 01:00:00,1.5700866667,0
2024-01-01 01:15:00,4.7818066667,0
2024-01-01 01:30:00,4.4810333333,0
2024-01-01 01:45:00,4.1454533333,0
2024-01-01 02:00:00,4.8206,0
2024-01-01 02:15:00,4.5381533333,0
2024-01-01 02:30:00,9.2572,0
2024-01-01 02:45:00,7.3951733333,0
2024-01-01 03:00:00,4.88268,0
2024-01-01 03:15:00,8.5002533333,0
2024-01-01 03:30:00,5.6053533333,0
2024-01-01 03:45:00,1.54676,0
2024-01-01 04:00:00,5.1128066667,0
2024-01-01 04:15:00,2.0516866667,0
2024-01-01 04:30:00,3.2320933333,0
2024-01-01 04:45:00,7.7077266667,0
2024-01-01 05:00:00,1.41338,0
2024-01-01 05:15:00,3.4147933333,0
2024-01-01 05:30:00,4.00744,0
2024-01-01 05:45:00,5.16774,0
2024-01-01 06:00:00,8.34724,0
2024-01-01 06:15:00,3.2104,0
2024-01-01 06:30:00,2.5123333333,0
2024-01-01 06:45:00,6.9538333333,0
2024-01-01 07:00:00,3.7603133333,0
2024-01-01 07:15:00,7.57538,0
2024-01-01 07:30:00,2.0082266667,0
2024-01-01 07:45:00,3.1655333333,0
2024-01-01 08:00:00,6.78056,0.0036146847
2024-01-01 08:15:00,1.4415733333,0.0182181
2024-01-01 08:30:00,4.1105466667,0.0724989333
2024-01-01 08:45:00,4.1387666667,0.196904
2024-01-01 09:00:00,3.04254,0.3114906667
2024-01-01 09:15:00,4.6447,0.4177053333
2024-01-01 09:30:00,5.5229,0.543326
2024-01-01 09:45:00,3.3354466667,0.8538033333
2024-01-01 10:00:00,7.07696,1.4812533333
2024-01-01 10:15:00,8.39698,1.7027266667
2024-01-01 10:30:00,1.5044266667,2.12432
2024-01-01 10:45:00,3.5856666667,2.9412133333
2024-01-01 11:00:00,2.6017466667,2.6338066667
2024-01-01 11:15:00,1.7273866667,2.7875533333
2024-01-01 11:30:00,3.6856133333,3.2892933333
2024-01-01 11:45:00,4.74968,3.8033266667
2024-01-01 12:00:00,4.0036866667,4.35002
2024-01-01 12:15:00,2.7861466667,3.64764
2024-01-01 12:30:00,1.7666666667,3.5375133333
2024-01-01 12:45:00,5.2587466667,2.86792
2024-01-01 13:00:00,1.6811333333,2.70362
2024-01-01 13:15:00,3.3128266667,2.84932
2024-01-01 13:30:00,3.08112,3.63344
2024-01-01 13:45:00,1.7545333333,3.42526
2024-01-01 14:00:00,4.3379933333,3.0127866667
2024-01-01 14:15:00,1.6561266667,3.4740733333
2024-01-01 14:30:00,3.3862733333,3.9928533333
2024-01-01 14:45:00,2.56806,3.82092
2024-01-01 15:00:00,2.4923533333,3.4540533333
2024-01-01 15:15:00,3.6537333333,2.6669933333
2024-01-01 15:30:00,2.6136,2.1811466667
2024-01-01 15:45:00,5.2693666667,2.5892933333
2024-01-01 16:00:00,1.5549066667,2.3115066667
2024-01-01 16:15:00,4.4551333333,1.9294266667
2024-01-01 16:30:00,6.3928333333,0.85887
2024-01-01 16:45:00,5.2949333333,0.156956
2024-01-01 17:00:00,9.04308,0.0822622
2024-01-01 17:15:00,9.72,0.0195966933
2024-01-01 17:30:00,1.9330733333,0.0059699933
2024-01-01 17:45:00,3.98892,0.00017429
2024-01-01 18:00:00,8.6130533333,0
2024-01-01 18:15:00,2.3882533333,0
2024-01-01 18:30:00,6.7957333333,0
2024-01-01 18:45:00,9.1386,0
2024-01-01 19:00:00,4.90218,0
2024-01-01 19:15:00,8.5981533333,0
2024-01-01 19:30:00,5.8294,0
2024-01-01 19:45:00,7.5609666667,0
2024-01-01 20:00:00,7.7526,0
2024-01-01 20:15:00,9.8742933333,0
2024-01-01 20:30:00,8.38684,0
2024-01-01 20:45:00,7.60192,0
2024-01-01 21:00:00,8.9105533333,0
2024-01-01 21:15:00,3.6513133333,0
2024-01-01 21:30:00,6.4500866667,0
2024-01-01 21:45:00,4.1709066667,0
2024-01-01 22:00:00,4.4112333333,0
2024-01-01 22:15:00,7.4990466667,0
2024-01-01 22:30:00,5.1121333333,0
2024-01-01 22:45:00,12.2659533333,0
2024-01-01 23:00:00,8.2012666667,0
2024-01-01 23:15:00,5.09002,0
2024-01-01 23:30:00,4.26848,0
2024-01-01 23:45:00,2.8241866667,0
2024-01-02 00:00:00,7.3005066667,0
2024-01-02 00:15:00,8.3333933333,0
2024-01-02 00:30:00,2.5673333333,0
2024-01-02 00:45:00,2.3181333333,0
2024-01-02 01:00:00,4.00112,0
2024-01-02 01:15:00,1.31926,0
2024-01-02 01:30:00,3.3143666667,0
2024-01-02 01:45:00,5.6093266667,0
2024-01-02 02:00:00,1.4316266667,0
2024-01-02 02:15:00,2.61988,0
2024-01-02 02:30:00,3.4362466667,0
2024-01-02 02:45:00,2.1944333333,0
2024-01-02 03:00:00,4.59878,0
2024-01-02 03:15:00,1.4116066667,0
2024-01-02 03:30:00,4.85256,0
2024-01-02 03:45:00,1.43232,0
2024-01-02 04:00:00,4.9668,0
2024-01-02 04:15:00,4.4390066667,0
2024-01-02 04:30:00,6.7407266667,0
2024-01-02 04:45:00,1.48768,0
2024-01-02 05:00:00,4.6285066667,0
2024-01-02 05:15:00,7.1177533333,0
2024-01-02 05:30:00,1.4347933333,0
2024-01-02 05:45:00,4.4647733333,0
2024-01-02 06:00:00,2.76468,0
2024-01-02 06:15:00,2.64274,0
2024-01-02 06:30:00,4.8136666667,0
2024-01-02 06:45:00,1.4618066667,0
2024-01-02 07:00:00,5.52406,0
2024-01-02 07:15:00,2.8670533333,0
2024-01-02 07:30:00,2.4996533333,0
2024-01-02 07:45:00,6.22514,0
2024-01-02 08:00:00,1.3492533333,0.001817012
2024-01-02 08:15:00,4.0128866667,0.0104888933
2024-01-02 08:30:00,4.1797,0.043668
2024-01-02 08:45:00,2.1220733333,0.1048819333
2024-01-02 09:00:00,5.7374933333,0.3032193333
2024-01-02 09:15:00,1.45582,0.485344
2024-01-02 09:30:00,4.7113,0.74349
2024-01-02 09:45:00,3.7506466667,0.693686
2024-01-02 10:00:00,2.9059133333,0.6809106667
2024-01-02 10:15:00,4.8321333333,0.9786753333
2024-01-02 10:30:00,1.43578,1.4251466667
2024-01-02 10:45:00,5.2495,1.387756
2024-01-02 11:00:00,5.4329933333,1.083166
2024-01-02 11:15:00,4.9551533333,1.82632
2024-01-02 11:30:00,6.2974133333,1.78638
2024-01-02 11:45:00,1.4047066667,1.61432
2024-01-02 12:00:00,4.31442,1.8907133333
2024-01-02 12:15:00,1.6799866667,2.27238
2024-01-02 12:30:00,3.35438,2.9693533333
2024-01-02 12:45:00,2.4214,2.4806733333
2024-01-02 13:00:00,1.4644,1.98478
2024-01-02 13:15:00,4.1692066667,1.8529666667
2024-01-02 13:30:00,1.4890333333,1.6580533333
2024-01-02 13:45:00,6.16008,1.8423933333
2024-01-02 14:00:00,7.5586533333,1.89076
2024-01-02 14:15:00,5.6721133333,1.5539533333
2024-01-02 14:30:00,6.4464333333,1.22016
2024-01-02 14:45:00,5.54498,1.0949326667
2024-01-02 15:00:00,5.36632,0.9081873333
2024-01-02 15:15:00,6.4918466667,0.8328713333
2024-01-02 15:30:00,6.9516866667,0.6110846667
2024-01-02 15:45:00,5.7081066667,0.40262
2024-01-02 16:00:00,3.5324133333,0.2375346667
2024-01-02 16:15:00,6.5745266667,0.13474
2024-01-02 16:30:00,3.58638,0.0843616667
2024-01-02 16:45:00,6.38508,0.0339517333
2024-01-02 17:00:00,4.8382266667,0.0100125067
2024-01-02 17:15:00,5.01502,0.0041653133
2024-01-02 17:30:00,8.1832533333,0.0005350667
