Time,Consumption [kW],Solar power [kW]
2024-01-01 00:15:00,12.8887533333,0
2024-01-01 00:30:00,9.8723380001,0
2024-01-01 00:45:00,10.6218893333,0
2024-01-01 01:00:00,7.5997633333,0
2024-01-01 01:15:00,8.7205733334,0
2024-01-01 01:30:00,10.9464719999,0
2024-01-01 01:45:00,14.4741291333,0
2024-01-01 02:00:00,9.7022865333,0
2024-01-01 02:15:00,8.9922036001,0
2024-01-01 02:30:00,15.0016461332,0
2024-01-01 02:45:00,10.839753,0
2024-01-01 03:00:00,9.0513989333,0
2024-01-01 03:15:00,16.827288,0
2024-01-01 03:30:00,15.4278659999,0
2024-01-01 03:45:00,8.912454,0
2024-01-01 04:00:00,13.2138057334,0
2024-01-01 04:15:00,7.9740586666,0
2024-01-01 04:30:00,9.0318086666,0
2024-01-01 04:45:00,15.9715433333,0
2024-01-01 05:00:00,8.2999846666,0
2024-01-01 05:15:00,10.3681326668,0
2024-01-01 05:30:00,11.9427346667,0
2024-01-01 05:45:00,11.0181806666,0
2024-01-01 06:00:00,14.7265533333,0
2024-01-01 06:15:00,8.5162766668,0
2024-01-01 06:30:00,8.5792246667,0
2024-01-01 06:45:00,15.07381,0
2024-01-01 07:00:00,11.043812,0
2024-01-01 07:15:00,17.7337273333,0
2024-01-01 07:30:00,13.072332,0
2024-01-01 07:45:00,8.3079053332,0.0004078
2024-01-01 08:00:00,10.8639346667,0.0075134547
2024-01-01 08:15:00,8.197928,0.04189306
2024-01-01 08:30:00,9.7742366667,0.171325
2024-01-01 08:45:00,9.709954,0.3804826667
2024-01-01 09:00:00,11.859096,0.5956713333
2024-01-01 09:15:00,15.794106,0.8225473333
2024-01-01 09:30:00,15.5455786667,1.486684
2024-01-01 09:45:00,13.2910046667,2.1049833333
2024-01-01 10:00:00,16.0091740001,3.2206533333
2024-01-01 10:15:00,16.9142446667,3.5526666667
2024-01-01 10:30:00,8.0286700001,3.6276066667
2024-01-01 10:45:00,10.9085706667,4.81884
2024-01-01 11:00:00,13.4420986667,6.2717466666
2024-01-01 11:15:00,16.328656,6.3314533333
2024-01-01 11:30:00,15.5511673333,6.8112933333
2024-01-01 11:45:00,10.4910073334,7.5868
2024-01-01 12:00:00,9.0932028,9.0898733334
2024-01-01 12:15:00,8.4031829333,8.9898533333
2024-01-01 12:30:00,9.2968014001,8.3516066667
2024-01-01 12:45:00,8.741246,8.0884333334
