Time,Consumption [kW],Solar power [kW]
2024-01-01 00:15:00,0.1392493333,0
2024-01-01 00:30:00,0.1109426667,0
2024-01-01 00:45:00,0.1120233333,0
2024-01-01 01:00:00,0.1122786667,0
2024-01-01 01:15:00,0.1898246667,0
2024-01-01 01:30:00,0.2207013333,0
2024-01-01 01:45:00,0.1426586667,0
2024-01-01 02:00:00,0.111312,0
2024-01-01 02:15:00,0.1104606667,0
2024-01-01 02:30:00,0.11109,0
2024-01-01 02:45:00,0.186896,0
2024-01-01 03:00:00,0.1505726667,0
2024-01-01 03:15:00,2.0288746667,0
2024-01-01 03:30:00,2.3311,0
2024-01-01 03:45:00,2.3607066667,0
2024-01-01 04:00:00,2.43982,0
2024-01-01 04:15:00,2.5181533333,0
2024-01-01 04:30:00,2.5190133333,0
2024-01-01 04:45:00,2.53812,0
2024-01-01 05:00:00,2.6165133333,0
2024-01-01 05:15:00,2.6348066667,0
2024-01-01 05:30:00,1.9907193333,0
2024-01-01 05:45:00,0.1378153333,0
2024-01-01 06:00:00,0.118192,0
2024-01-01 06:15:00,0.1191106667,0
2024-01-01 06:30:00,0.1180846667,0
2024-01-01 06:45:00,1.784242,0
2024-01-01 07:00:00,2.6474333333,0
2024-01-01 07:15:00,2.59706,0
2024-01-01 07:30:00,2.6097333333,0
2024-01-01 07:45:00,0.1583253333,0.0004078
2024-01-01 08:00:00,0.1446513333,0.00499308
2024-01-01 08:15:00,0.20196,0.0271016667
2024-01-01 08:30:00,0.175782,0.0963855333
2024-01-01 08:45:00,0.1609233333,0.206172
2024-01-01 09:00:00,1.1192486667,0.3185173333
2024-01-01 09:15:00,5.0436266667,0.4476773333
2024-01-01 09:30:00,4.3101066667,0.9781386667
2024-01-01 09:45:00,3.3248966667,1.4449
2024-01-01 10:00:00,1.4997926667,1.9132533333
2024-01-01 10:15:00,1.28116,1.9510066667
2024-01-01 10:30:00,1.246428,1.9465866667
2024-01-01 10:45:00,1.063182,2.4309333333
2024-01-01 11:00:00,1.0600906667,3.2841733333
2024-01-01 11:15:00,0.9157006667,3.45088
2024-01-01 11:30:00,0.7842593333,3.7148933333
2024-01-01 11:45:00,0.7617666667,4.09406
2024-01-01 12:00:00,0.671458,4.8568266667
2024-01-01 12:15:00,0.2217013333,4.96404
2024-01-01 12:30:00,0.1487893333,4.5736
2024-01-01 12:45:00,0.1146466667,4.1330866667
2024-01-01 13:00:00,0.1287586667,4.7437133333
2024-01-01 13:15:00,0.2162293333,5.4435133333
2024-01-01 13:30:00,0.1158373333,4.69724
2024-01-01 13:45:00,2.0204446667,4.5246466667
2024-01-01 14:00:00,2.49336,3.4336466667
2024-01-01 14:15:00,3.428,1.7382066667
2024-01-01 14:30:00,2.8364946667,1.1931273333
2024-01-01 14:45:00,0.5948126667,0.7335573333
2024-01-01 15:00:00,0.5870053333,0.5524026667
2024-01-01 15:15:00,0.4299313333,0.6017566667
2024-01-01 15:30:00,0.5260833333,0.5328766667
2024-01-01 15:45:00,1.6310013333,0.529156
2024-01-01 16:00:00,2.6739133333,0.4534726667
2024-01-01 16:15:00,2.6481866667,0.2897153333
2024-01-01 16:30:00,1.6242653333,0.210504
2024-01-01 16:45:00,0.1118173333,0.1466653333
2024-01-01 17:00:00,0.188838,0.0818688
2024-01-01 17:15:00,0.1497893333,0.0312620667
2024-01-01 17:30:00,0.21363,0.0077655667
2024-01-01 17:45:00,1.70335,0.0010370667
2024-01-01 18:00:00,2.4537466667,0
2024-01-01 18:15:00,2.5091733333,0
2024-01-01 18:30:00,1.35888,0
2024-01-01 18:45:00,0.1787306667,0
2024-01-01 19:00:00,0.1913466667,0
2024-01-01 19:15:00,0.1733906667,0
2024-01-01 19:30:00,0.110286,0
2024-01-01 19:45:00,0.1101406667,0
2024-01-01 20:00:00,0.9306953333,0
2024-01-01 20:15:00,2.5152133333,0
2024-01-01 20:30:00,2.5957933333,0
2024-01-01 20:45:00,1.6135706667,0
2024-01-01 21:00:00,0.1105773333,0
2024-01-01 21:15:00,0.1117553333,0
2024-01-01 21:30:00,0.1478893333,0
2024-01-01 21:45:00,0.1841833333,0
2024-01-01 22:00:00,0.6576606667,0
2024-01-01 22:15:00,0.3856786667,0
2024-01-01 22:30:00,0.113734,0
2024-01-01 22:45:00,0.1753246667,0
2024-01-01 23:00:00,0.1661226667,0
2024-01-01 23:15:00,0.1113693333,0
2024-01-01 23:30:00,0.1111346667,0
2024-01-01 23:45:00,0.1833153333,0
2024-01-02 00:00:00,0.150788,0
2024-01-02 00:15:00,0.2127126667,0
2024-01-02 00:30:00,0.1265386667,0
2024-01-02 00:45:00,0.1112526667,0
2024-01-02 01:00:00,0.1113226667,0
2024-01-02 01:15:00,0.112226,0
2024-01-02 01:30:00,0.2209193333,0
2024-01-02 01:45:00,0.2177573333,0
2024-01-02 02:00:00,0.112258,0
2024-01-02 02:15:00,0.111862,0
2024-01-02 02:30:00,0.11252,0
2024-01-02 02:45:00,0.1311053333,0
