Time,Consumption [kW],Solar power [kW]
2024-01-01 00:15:00,32.8,0
2024-01-01 00:30:00,32,0
2024-01-01 00:45:00,31.2,0
2024-01-01 01:00:00,31.2,0
2024-01-01 01:15:00,34.4,0
2024-01-01 01:30:00,31.2,0
2024-01-01 01:45:00,31.2,0
2024-01-01 02:00:00,31.2,0
2024-01-01 02:15:00,31.2,0
2024-01-01 02:30:00,31.2,0
2024-01-01 02:45:00,31.2,0
2024-01-01 03:00:00,33.6,0
2024-01-01 03:15:00,32,0
2024-01-01 03:30:00,30.4,0
2024-01-01 03:45:00,32,0
2024-01-01 04:00:00,31.2,0
2024-01-01 04:15:00,32,0
2024-01-01 04:30:00,35.2,0
2024-01-01 04:45:00,32.8,0
2024-01-01 05:00:00,32,0
2024-01-01 05:15:00,31.2,0
2024-01-01 05:30:00,32,0
2024-01-01 05:45:00,32,0
2024-01-01 06:00:00,31.2,0
2024-01-01 06:15:00,33.6,0
2024-01-01 06:30:00,36.8,0
2024-01-01 06:45:00,38.4,0
2024-01-01 07:00:00,36.8,0
2024-01-01 07:15:00,38.4,0
2024-01-01 07:30:00,36.8,0
2024-01-01 07:45:00,37.6,0
2024-01-01 08:00:00,38.4,0
2024-01-01 08:15:00,36,0
2024-01-01 08:30:00,36.8,0
2024-01-01 08:45:00,36.8,0.6
2024-01-01 09:00:00,36.8,1.2
2024-01-01 09:15:00,36,3
2024-01-01 09:30:00,37.6,4.2
2024-01-01 09:45:00,42.4,6.3
2024-01-01 10:00:00,38.4,10.2
2024-01-01 10:15:00,36.8,12.9
2024-01-01 10:30:00,36.8,16.8
2024-01-01 10:45:00,41.6,15.6
2024-01-01 11:00:00,37.6,10.5
2024-01-01 11:15:00,36.8,7.2
2024-01-01 11:30:00,36.8,6.9
2024-01-01 11:45:00,42.4,8.7
2024-01-01 12:00:00,38.4,9.9
2024-01-01 12:15:00,37.6,18.9
2024-01-01 12:30:00,37.6,32.1
2024-01-01 12:45:00,41.6,38.7
2024-01-01 13:00:00,37.6,36.3
2024-01-01 13:15:00,37.6,35.1
2024-01-01 13:30:00,37.6,37.2
2024-01-01 13:45:00,37.6,32.4
2024-01-01 14:00:00,40.8,30.3
2024-01-01 14:15:00,40.8,28.8
2024-01-01 14:30:00,37.6,29.4
2024-01-01 14:45:00,38.4,25.2
2024-01-01 15:00:00,37.6,22.2
2024-01-01 15:15:00,37.6,15
2024-01-01 15:30:00,38.4,8.4
2024-01-01 15:45:00,37.6,7.2
2024-01-01 16:00:00,41.6,6
2024-01-01 16:15:00,37.6,4.5
2024-01-01 16:30:00,37.6,2.4
2024-01-01 16:45:00,36,0.6
2024-01-01 17:00:00,41.6,0
2024-01-01 17:15:00,36.8,0
2024-01-01 17:30:00,36.8,0
2024-01-01 17:45:00,36.8,0
2024-01-01 18:00:00,37.6,0
2024-01-01 18:15:00,40,0
2024-01-01 18:30:00,38.4,0
2024-01-01 18:45:00,37.6,0
2024-01-01 19:00:00,36.8,0
2024-01-01 19:15:00,41.6,0
2024-01-01 19:30:00,37.6,0
2024-01-01 19:45:00,36.8,0
2024-01-01 20:00:00,36.8,0
2024-01-01 20:15:00,40,0
2024-01-01 20:30:00,33.6,0
2024-01-01 20:45:00,32.8,0
2024-01-01 21:00:00,32.8,0
2024-01-01 21:15:00,32.8,0
2024-01-01 21:30:00,32,0
2024-01-01 21:45:00,33.6,0
2024-01-01 22:00:00,32.8,0
2024-01-01 22:15:00,32.8,0
2024-01-01 22:30:00,33.6,0
2024-01-01 22:45:00,36,0
2024-01-01 23:00:00,32.8,0
2024-01-01 23:15:00,32.8,0
2024-01-01 23:30:00,33.6,0
2024-01-01 23:45:00,32.8,0
2024-01-02 00:00:00,34.4,0
2024-01-02 00:15:00,36,0
2024-01-02 00:30:00,31.2,0
