Time,Consumption [kW],Solar power [kW]
2016-01-01 00:15:00,20,0
2016-01-01 00:30:00,26.5,0
2016-01-01 00:45:00,15,0
2016-01-01 01:00:00,32,0
2016-01-01 01:15:00,13.5,0
2016-01-01 01:30:00,32.5,0
2016-01-01 01:45:00,13,0
2016-01-01 02:00:00,32.5,0
2016-01-01 02:15:00,13.5,0
2016-01-01 02:30:00,26.5,0
2016-01-01 02:45:00,19.5,0
2016-01-01 03:00:00,23,0
2016-01-01 03:15:00,24,0
2016-01-01 03:30:00,18,0
2016-01-01 03:45:00,28.5,0
2016-01-01 04:00:00,15,0
2016-01-01 04:15:00,32,0
2016-01-01 04:30:00,13.5,0
2016-01-01 04:45:00,33,0
2016-01-01 05:00:00,13.5,0
2016-01-01 05:15:00,34,0
2016-01-01 05:30:00,13.5,0
2016-01-01 05:45:00,30,0
2016-01-01 06:00:00,18,0
2016-01-01 06:15:00,29.5,0
2016-01-01 06:30:00,40,0
2016-01-01 06:45:00,31,0
2016-01-01 07:00:00,26.5,0
2016-01-01 07:15:00,41,0
2016-01-01 07:30:00,19,0
2016-01-01 07:45:00,38,0
2016-01-01 08:00:00,29,0
2016-01-01 08:15:00,28.5,0
2016-01-01 08:30:00,36.5,0
2016-01-01 08:45:00,20.5,0.8
2016-01-01 09:00:00,41.5,1.6
2016-01-01 09:15:00,16,4.8
2016-01-01 09:30:00,40,6.4
2016-01-01 09:45:00,22.5,9.6
2016-01-01 10:00:00,34,16.8
2016-01-01 10:15:00,29,20
2016-01-01 10:30:00,27,28
2016-01-01 10:45:00,33.5,28
2016-01-01 11:00:00,23,20.8
2016-01-01 11:15:00,37,21.6
2016-01-01 11:30:00,19,33.6
2016-01-01 11:45:00,40,44.8
2016-01-01 12:00:00,15.5,74.4
2016-01-01 12:15:00,40.5,71.2
2016-01-01 12:30:00,18.5,75.2
2016-01-01 12:45:00,36,76
2016-01-01 13:00:00,21.5,69.6
2016-01-01 13:15:00,33.5,67.2
2016-01-01 13:30:00,23.5,70.4
2016-01-01 13:45:00,31,62.4
2016-01-01 14:00:00,24.5,60
2016-01-01 14:15:00,29.5,56
2016-01-01 14:30:00,28.5,58.4
2016-01-01 14:45:00,26.5,52.8
2016-01-01 15:00:00,30,48
2016-01-01 15:15:00,24.5,36.8
2016-01-01 15:30:00,32.5,27.2
2016-01-01 15:45:00,21.5,16
2016-01-01 16:00:00,34,9.6
2016-01-01 16:15:00,19,7.2
2016-01-01 16:30:00,42.5,4
2016-01-01 16:45:00,26,0.8
2016-01-01 17:00:00,47.5,0
2016-01-01 17:15:00,24.5,0
2016-01-01 17:30:00,48,0
2016-01-01 17:45:00,24.5,0
2016-01-01 18:00:00,47,0
2016-01-01 18:15:00,21.5,0
2016-01-01 18:30:00,49,0
2016-01-01 18:45:00,24,0
2016-01-01 19:00:00,45.5,0
2016-01-01 19:15:00,21,0
2016-01-01 19:30:00,39.5,0
2016-01-01 19:45:00,20.5,0
2016-01-01 20:00:00,28.5,0
2016-01-01 20:15:00,20.5,0
2016-01-01 20:30:00,23,0
2016-01-01 20:45:00,25,0
2016-01-01 21:00:00,19.5,0
2016-01-01 21:15:00,29,0
2016-01-01 21:30:00,16.5,0
2016-01-01 21:45:00,34.5,0
2016-01-01 22:00:00,13.5,0
2016-01-01 22:15:00,33.5,0
2016-01-01 22:30:00,13.5,0
2016-01-01 22:45:00,32,0
2016-01-01 23:00:00,15,0
2016-01-01 23:15:00,26.5,0
2016-01-01 23:30:00,20,0
2016-01-01 23:45:00,21,0
2016-01-02 00:00:00,25,0
2016-01-02 00:15:00,16.5,0
2016-01-02 00:30:00,29.5,0
2016-01-02 00:45:00,14,0
2016-01-02 01:00:00,32.5,0
2016-01-02 01:15:00,13.5,0
2016-01-02 01:30:00,33,0
2016-01-02 01:45:00,13.5,0
2016-01-02 02:00:00,26.5,0
2016-01-02 02:15:00,19,0
2016-01-02 02:30:00,22.5,0
2016-01-02 02:45:00,23.5,0
2016-01-02 03:00:00,17.5,0
2016-01-02 03:15:00,29.5,0
2016-01-02 03:30:00,14,0
2016-01-02 03:45:00,33,0
2016-01-02 04:00:00,13.5,0
2016-01-02 04:15:00,33.5,0
2016-01-02 04:30:00,13,0
2016-01-02 04:45:00,30.5,0
2016-01-02 05:00:00,16,0
2016-01-02 05:15:00,27.5,0
2016-01-02 05:30:00,19,0
2016-01-02 05:45:00,26,0
2016-01-02 06:00:00,22,0
2016-01-02 06:15:00,27.5,0
2016-01-02 06:30:00,39,0
2016-01-02 06:45:00,39.5,0
2016-01-02 07:00:00,40,0
2016-01-02 07:15:00,40.5,0
2016-01-02 07:30:00,40,0
2016-01-02 07:45:00,40.5,0
2016-01-02 08:00:00,41,0
2016-01-02 08:15:00,41,0
2016-01-02 08:30:00,41.5,0
2016-01-02 08:45:00,35,0.8
2016-01-02 09:00:00,25.5,3.2
2016-01-02 09:15:00,40,4.8
2016-01-02 09:30:00,41,4
2016-01-02 09:45:00,27.5,3.2
2016-01-02 10:00:00,32,8
2016-01-02 10:15:00,40.5,12
2016-01-02 10:30:00,30,15.2
2016-01-02 10:45:00,29,25.6
2016-01-02 11:00:00,41,22.4
2016-01-02 11:15:00,30.5,13.6
2016-01-02 11:30:00,27.5,5.6
2016-01-02 11:45:00,46.5,7.2
2016-01-02 12:00:00,30.5,8
2016-01-02 12:15:00,43.5,9.6
2016-01-02 12:30:00,48.5,12
2016-01-02 12:45:00,25.5,15.2
2016-01-02 13:00:00,47,19.2
2016-01-02 13:15:00,45,24
2016-01-02 13:30:00,29,28
2016-01-02 13:45:00,48,16
2016-01-02 14:00:00,31,12.8
2016-01-02 14:15:00,42.5,4.8
2016-01-02 14:30:00,43,5.6
2016-01-02 14:45:00,28.5,6.4
2016-01-02 15:00:00,47.5,5.6
2016-01-02 15:15:00,24.5,3.2
2016-01-02 15:30:00,46.5,3.2
2016-01-02 15:45:00,33,2.4
2016-01-02 16:00:00,38.5,2.4
2016-01-02 16:15:00,42,0.8
2016-01-02 16:30:00,29,0
2016-01-02 16:45:00,48,0
2016-01-02 17:00:00,23,0
2016-01-02 17:15:00,45,0
2016-01-02 17:30:00,23.5,0
2016-01-02 17:45:00,39.5,0
2016-01-02 18:00:00,28.5,0
2016-01-02 18:15:00,30.5,0
2016-01-02 18:30:00,27,0
2016-01-02 18:45:00,25.5,0
2016-01-02 19:00:00,29.5,0
2016-01-02 19:15:00,20,0
2016-01-02 19:30:00,29,0
2016-01-02 19:45:00,17,0
2016-01-02 20:00:00,32.5,0
2016-01-02 20:15:00,15,0
2016-01-02 20:30:00,34,0
2016-01-02 20:45:00,14,0
2016-01-02 21:00:00,36.5,0
2016-01-02 21:15:00,13.5,0
2016-01-02 21:30:00,34.5,0
2016-01-02 21:45:00,16.5,0
2016-01-02 22:00:00,28.5,0
2016-01-02 22:15:00,19,0
2016-01-02 22:30:00,22.5,0
2016-01-02 22:45:00,24.5,0
2016-01-02 23:00:00,14.5,0
2016-01-02 23:15:00,32,0
2016-01-02 23:30:00,13.5,0
2016-01-02 23:45:00,34,0
2016-01-03 00:00:00,13,0
2016-01-03 00:15:00,27,0
2016-01-03 00:30:00,19,0
2016-01-03 00:45:00,22,0
2016-01-03 01:00:00,24.5,0
2016-01-03 01:15:00,17.5,0
2016-01-03 01:30:00,29,0
2016-01-03 01:45:00,13.5,0
2016-01-03 02:00:00,33.5,0
2016-01-03 02:15:00,13,0
2016-01-03 02:30:00,31,0
2016-01-03 02:45:00,14.5,0
2016-01-03 03:00:00,26.5,0
2016-01-03 03:15:00,19.5,0
2016-01-03 03:30:00,21.5,0
2016-01-03 03:45:00,25,0
2016-01-03 04:00:00,16,0
2016-01-03 04:15:00,31,0
2016-01-03 04:30:00,13,0
2016-01-03 04:45:00,33.5,0
2016-01-03 05:00:00,13.5,0
2016-01-03 05:15:00,30,0
2016-01-03 05:30:00,17.5,0
2016-01-03 05:45:00,25.5,0
2016-01-03 06:00:00,21.5,0
2016-01-03 06:15:00,24,0
2016-01-03 06:30:00,28.5,0
2016-01-03 06:45:00,20,0
2016-01-03 07:00:00,30.5,0
2016-01-03 07:15:00,19.5,0
2016-01-03 07:30:00,35,0
