Battery size (kWh),Solar scaling (%),Buy Electricity price (CHF/kWh),Sell PV price (CHF/kWh),Price type selection,Price peak power (CHF/kW max year/year),Battery C rate (-),Battery SOC for backup (%),Level of peak shaving (%),Battery SOC for peak shaving (%),Dataset choice,Self-consumption ratio with storage (%),Autarky ratio with storage (%),PV sell revenue with storage (CHF),Cost Buying Electricity with storage(CHF),Bill with storage (CHF),Gain of storage (CHF),Total gain of solar and storage (CHF),Throughput Energy (kWh),Number of equivalent 80% DOD cycles,Battery total price (CHF),Battery variable price (CHF/kWh),Cost of storage over 15 years (ct/kWh),Peak grid consumption with batt (kW),Reference grid injection (kWh),Reference grid consumption (kWh),Reference self-consumption (%),Reference autarky (%)
10.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,35.206178417591175,66.87021226238056,887.6366124012417,466.12438501161273,-421.51222738962895,148.85273233697546,1828.4768258446948,1805.7672669621745,225.72090837027181,6722.222222222223,572.2222222222223,24.817602818887266,9.718174482117087,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
0.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,17.582172233615033,39.13027628512772,1129.0749588983142,856.4154638456607,-272.6594950526535,0.0,1679.6240935077192,-0.0,0.0,0.0,0.0,0.0,11.0634906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
0.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,17.582172233615033,39.13027628512772,1129.0749588983142,856.4154638456607,-272.6594950526535,0.0,1679.6240935077192,-0.0,0.0,0.0,0.0,0.0,11.0634906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
1.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,21.52390721197802,39.34170267678247,1075.0755466437433,853.4407693632874,-221.63477728045598,-51.024717772197505,1628.5993757355218,292.81264058844573,366.01580073555715,1622.2222222222222,622.2222222222223,36.934248443240065,10.6134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
2.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,23.91909140645457,44.15779032768714,1042.2629553728593,785.6801210844926,-256.5828342883667,-16.07666076428677,1663.5474327434324,557.5026729274879,348.4391705796799,2233.3333333333335,616.6666666666667,26.706399111427086,10.638508775183752,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
3.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,26.004541358193674,48.35175417813932,1013.6935380227861,726.6725344366273,-287.0210035861588,14.361508533505344,1693.9856020412244,788.001058270712,328.3337742794633,2833.3333333333335,611.1111111111112,23.970638986629066,11.1134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
4.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,27.845894951866573,52.0554327032926,988.4680948215101,674.563088747138,-313.9050060743722,41.2455110217187,1720.8696045294378,991.5535804952797,309.8604939047749,3422.2222222222226,605.5555555555557,23.009159831200297,11.1134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
5.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,29.49550230974,55.373974939078174,965.869460396581,627.8723743048556,-337.99708609172535,65.33759103907187,1744.961684546791,1173.9391837854446,293.48479594636115,4000.0,600.0,22.71554356050902,11.1134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
6.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,30.956224993099113,58.313128539892304,945.8584330694548,586.5195236471836,-359.3389094222712,86.67941436961769,1766.3035078773369,1335.473756666976,278.22369930562,4566.666666666667,594.4444444444445,22.79673733194617,11.1134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
7.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,32.24501414127263,60.90694110450221,928.2027923672119,550.0254991128429,-378.17729325436903,105.51779820171555,1785.1418917094347,1478.0285400042446,263.9336678579008,5122.222222222223,588.8888888888889,23.1038489608936,11.1134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
8.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,33.362360062692225,63.1563974531273,912.8958213575177,518.3764446299878,-394.5193767275299,121.85988167487642,1801.4839751825957,1601.6576590778973,250.25900923092144,5666.666666666667,583.3333333333334,23.58667444547864,11.1134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
9.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,34.34184005987733,65.128940045044,899.4775310733063,490.62346867227177,-408.8540624010345,136.19456734838104,1815.8186608561002,1710.0677214127256,237.50940575176745,6200.0,577.7777777777778,24.170582729429526,11.1134906667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
10.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,35.206178417591175,66.87021226238056,887.6366124012417,466.12438501161273,-421.51222738962895,148.85273233697546,1828.4768258446948,1805.7672669621745,225.72090837027181,6722.222222222223,572.2222222222223,24.817602818887266,9.718174482117087,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
11.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,35.97362999377466,68.4168803177538,877.1229847029728,444.36331301689813,-432.7596716860746,160.10017663342114,1839.7242701411403,1890.771454441529,214.86039255017374,7233.333333333334,566.6666666666667,25.503993149962945,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
12.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,36.670984828096955,69.82275395833904,867.5696404540587,424.58316859485245,-442.98647185920623,170.32697680655275,1849.9510703142719,1968.0376435901449,205.00392120730675,7733.333333333334,561.1111111111112,26.19642755486454,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
13.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,37.29412040028698,71.07955280171612,859.0330557171641,406.9004537947441,-452.13260192241995,179.47310686976647,1859.0972003774857,2037.1107482780676,195.87603348827574,8222.222222222223,555.5555555555557,26.908117224922,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
15.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,38.28500642351689,73.0801908597746,845.4585096963391,378.75218457464223,-466.70632512169686,194.04683006904338,1873.6709235767626,2147.064924919091,178.9220770765909,9166.666666666668,544.4444444444445,28.462628401148137,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
14.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,37.82850617278813,72.15809120419436,851.7122901683217,391.72580029113226,-459.98648987718946,187.32699482453597,1866.951088332255,2096.3867385265517,187.1773873684421,8700.0,550.0,27.666650877960326,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
17.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,39.004861769791475,74.53644405003023,835.5969218877946,358.26321772387337,-477.3337041639212,204.67420911126771,1884.2983026189868,2227.099951679907,163.75734938822845,10066.666666666668,533.3333333333334,30.133856839469214,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
