time,Grid/genset [kW],Consumption [kW],Loads [kW],AC-Flex as loads [kW],Solar [kW],Battery SoC [%],
2024-01-17T00:00:00,0.42,0.44,0.42,0.02,0,30.63,
2024-01-17T00:15:00,0.46,0.42,0.39,0.02,0,30,
2024-01-17T00:30:00,0.61,0.57,0.54,0.02,0,30,
2024-01-17T00:45:00,0.17,0.14,0.12,0.02,0,30,
2024-01-17T01:00:00,0.18,0.15,0.13,0.02,0,30,
2024-01-17T01:15:00,0.18,0.15,0.12,0.02,0,30,
2024-01-17T01:30:00,0.14,0.11,0.09,0.02,0,30,
2024-01-17T01:45:00,0.1,0.07,0.05,0.02,0,30,
2024-01-17T02:00:00,0.11,0.08,0.05,0.02,0,30,
2024-01-17T02:15:00,0.15,0.12,0.09,0.02,0,30,
2024-01-17T02:30:00,0.18,0.15,0.12,0.02,0,30,
2024-01-17T02:45:00,0.18,0.15,0.12,0.02,0,30,
2024-01-17T03:00:00,0.15,0.12,0.1,0.02,0,30,
2024-01-17T03:15:00,0.1,0.08,0.05,0.02,0,30,
2024-01-17T03:30:00,0.11,0.08,0.05,0.02,0,30,
2024-01-17T03:45:00,0.12,0.09,0.07,0.02,0,30,
2024-01-17T04:00:00,0.18,0.14,0.12,0.02,0,30,
2024-01-17T04:15:00,0.17,0.14,0.11,0.02,0,30,
2024-01-17T04:30:00,0.18,0.15,0.12,0.02,0,30,
2024-01-17T04:45:00,0.12,0.09,0.07,0.02,0,30,
2024-01-17T05:00:00,0.1,0.08,0.05,0.02,0,30,
2024-01-17T05:15:00,0.09,0.07,0.04,0.02,0,30,
2024-01-17T05:30:00,0.17,0.14,0.11,0.02,0,30,
2024-01-17T05:45:00,0.18,0.14,0.12,0.02,0,30,
2024-01-17T06:00:00,0.87,0.81,0.12,0.69,0,30,
2024-01-17T06:15:00,1.32,1.25,0.08,1.16,0,30,
2024-01-17T06:30:00,1.78,1.71,0.26,1.45,0,30,
2024-01-17T06:45:00,2.03,1.96,0.4,1.55,0,30,
2024-01-17T07:00:00,1.75,1.68,0.13,1.54,0,30,
2024-01-17T07:15:00,1.56,1.49,0.16,1.32,0,30,
2024-01-17T07:30:00,1.16,1.1,0.15,0.94,0,30,
2024-01-17T07:45:00,1.18,1.11,0.14,0.97,0,30,
2024-01-17T08:00:00,2.72,2.64,1.52,1.12,0,30,
2024-01-17T08:15:00,1.33,1.26,0.16,1.1,0,30,
2024-01-17T08:30:00,1.53,1.47,0.14,1.33,0.03,30,
2024-01-17T08:45:00,2,2.01,0.52,1.49,0.11,30,
2024-01-17T09:00:00,1.07,1.14,0.16,0.97,0.15,30,
2024-01-17T09:15:00,1.61,1.69,0.21,1.47,0.16,30,
2024-01-17T09:30:00,2.68,2.79,1.23,1.55,0.2,30,
2024-01-17T09:45:00,1.32,1.8,0.08,1.69,0.56,30,
2024-01-17T10:00:00,1.09,1.92,0.01,1.88,0.93,30,
2024-01-17T10:15:00,1.59,2.13,0.02,2.07,0.61,30,
2024-01-17T10:30:00,0.95,1.76,0.03,1.7,0.95,30,
2024-01-17T10:45:00,0.7,1.55,0.08,1.45,0.96,30,
2024-01-17T11:00:00,0.89,2,0.07,1.89,1.22,30,
2024-01-17T11:15:00,1.06,1.89,0.08,1.79,0.94,30,
2024-01-17T11:30:00,0.39,1.53,0.05,1.44,1.24,30,
2024-01-17T11:45:00,0.1,1.45,0,1.41,1.57,30,
2024-01-17T12:00:00,0.07,1.43,0,1.4,1.72,30.59,
2024-01-17T12:15:00,0.53,1.61,0.24,1.34,1.2,30.02,
2024-01-17T12:30:00,0.83,1.99,1.05,0.92,1.3,30.31,
