time,Réseau/génératrice [kW],Consommation [kW],Loads [kW],AC-Flex as loads [kW],Solaire [kW],SoC de batterie [%],
2024-03-29T00:00:00,0.72,0.66,0.19,0.46,0,35,
2024-03-29T00:01:00,0.71,0.65,0.19,0.46,0,35,
2024-03-29T00:02:00,0.71,0.65,0.19,0.46,0,35,
2024-03-29T00:03:00,0.71,0.65,0.19,0.47,0,35,
2024-03-29T00:04:00,0.72,0.66,0.19,0.47,0,35,
2024-03-29T00:05:00,0.72,0.66,0.19,0.47,0,35,
2024-03-29T00:06:00,0.72,0.66,0.19,0.47,0,35,
2024-03-29T00:07:00,0.72,0.66,0.18,0.47,0,35,
2024-03-29T00:08:00,0.72,0.66,0.19,0.47,0,35,
2024-03-29T00:09:00,0.81,0.74,0.23,0.5,0,35,
2024-03-29T00:10:00,1.03,0.97,0.25,0.71,0,35,
2024-03-29T00:11:00,1.02,0.96,0.24,0.72,0,35,
2024-03-29T00:12:00,0.96,0.89,0.17,0.72,0,35,
2024-03-29T00:13:00,0.96,0.9,0.17,0.72,0,35,
2024-03-29T00:14:00,0.79,0.73,0.17,0.55,0,35,
2024-03-29T00:15:00,1.2,1.13,0.16,0.98,0,35,
2024-03-29T00:16:00,1.06,0.99,0.13,0.85,0,35,
2024-03-29T00:17:00,0.99,0.93,0.14,0.79,0,35,
2024-03-29T00:18:00,1.02,0.96,0.14,0.82,0,35,
2024-03-29T00:19:00,1.11,1.04,0.14,0.9,0,35,
2024-03-29T00:20:00,1.11,1.05,0.13,0.91,0,35,
2024-03-29T00:21:00,1.09,1.02,0.12,0.9,0,35,
2024-03-29T00:22:00,1.08,1.01,0.12,0.89,0,35,
2024-03-29T00:23:00,1.04,0.97,0.12,0.85,0,35,
2024-03-29T00:24:00,1.03,0.96,0.12,0.84,0,35,
2024-03-29T00:25:00,1.03,0.96,0.12,0.84,0,35,
2024-03-29T00:26:00,1.07,1.01,0.18,0.84,0,35,
2024-03-29T00:27:00,1.08,1.02,0.19,0.83,0,35,
2024-03-29T00:28:00,1.07,1.01,0.18,0.83,0,35,
2024-03-29T00:29:00,1.02,0.95,0.12,0.83,0,35,
2024-03-29T00:30:00,1.02,0.95,0.12,0.83,0,35,
2024-03-29T00:31:00,0.99,0.93,0.12,0.8,0,35,
2024-03-29T00:32:00,0.97,0.91,0.12,0.78,0,35,
2024-03-29T00:33:00,0.94,0.88,0.12,0.76,0,35,
2024-03-29T00:34:00,0.92,0.86,0.1,0.76,0,35,
2024-03-29T00:35:00,0.88,0.81,0.05,0.76,0,35,
2024-03-29T00:36:00,0.88,0.81,0.05,0.76,0,35,
2024-03-29T00:37:00,0.88,0.81,0.05,0.75,0,35,
2024-03-29T00:38:00,0.82,0.75,0.05,0.69,0,35,
2024-03-29T00:39:00,0.81,0.74,0.05,0.69,0,35,
2024-03-29T00:40:00,0.81,0.75,0.05,0.69,0,35,
2024-03-29T00:41:00,0.81,0.74,0.05,0.69,0,35,
2024-03-29T00:42:00,0.81,0.74,0.05,0.69,0,35,
2024-03-29T00:43:00,0.78,0.71,0.05,0.66,0,35,
2024-03-29T00:44:00,0.82,0.75,0.13,0.62,0,35,
2024-03-29T00:45:00,0.81,0.75,0.12,0.62,0,35,
2024-03-29T00:46:00,0.79,0.73,0.1,0.62,0,35,
2024-03-29T00:47:00,0.74,0.68,0.05,0.62,0,35,
2024-03-29T00:48:00,0.74,0.68,0.05,0.62,0,35,
2024-03-29T00:49:00,0.68,0.62,0.05,0.56,0,35,
2024-03-29T00:50:00,0.62,0.56,0.05,0.51,0,35,
2024-03-29T00:51:00,0.6,0.54,0.05,0.49,0,35,
2024-03-29T00:52:00,0.6,0.54,0.05,0.49,0,35,
2024-03-29T00:53:00,0.61,0.55,0.05,0.5,0,35,
2024-03-29T00:54:00,0.61,0.56,0.05,0.5,0,35,
2024-03-29T00:55:00,0.61,0.56,0.05,0.51,0,35,
2024-03-29T00:56:00,0.6,0.55,0.05,0.5,0,35,
2024-03-29T00:57:00,0.59,0.54,0.05,0.49,0,35,
2024-03-29T00:58:00,0.59,0.53,0.05,0.48,0,35,
2024-03-29T00:59:00,0.58,0.53,0.05,0.48,0,35,
2024-03-29T01:00:00,0.59,0.54,0.05,0.48,0,35,
2024-03-29T01:01:00,0.59,0.54,0.05,0.48,0,35,
2024-03-29T01:02:00,0.65,0.6,0.12,0.48,0,35,
2024-03-29T01:03:00,0.66,0.6,0.12,0.48,0,35,
2024-03-29T01:04:00,0.63,0.57,0.09,0.48,0,35,
2024-03-29T01:05:00,0.59,0.53,0.05,0.48,0,35,
2024-03-29T01:06:00,0.59,0.54,0.05,0.49,0,35,
2024-03-29T01:07:00,0.59,0.54,0.05,0.49,0,35,
2024-03-29T01:08:00,0.59,0.54,0.05,0.49,0,35,
2024-03-29T01:09:00,0.59,0.54,0.05,0.49,0,35,
2024-03-29T01:10:00,0.59,0.53,0.05,0.48,0,35,
2024-03-29T01:11:00,0.58,0.53,0.05,0.48,0,35,
2024-03-29T01:12:00,0.61,0.56,0.09,0.47,0,35,
2024-03-29T01:13:00,0.66,0.6,0.13,0.47,0,35,
2024-03-29T01:14:00,0.66,0.6,0.12,0.47,0,35,
2024-03-29T01:15:00,0.65,0.6,0.12,0.48,0,35,
2024-03-29T01:16:00,0.66,0.6,0.12,0.48,0,35,
2024-03-29T01:17:00,0.66,0.6,0.12,0.48,0,35,
